Մակնիշ,Մոդել,Գին(դրամ),Տարի,Վազքը,Մոդիֆիկացիան,Թափքը,Փոխանցման տուփը,Ղեկը,Շարժիչը,Գույնը,Սրահի գույնը,Շարժիչի ծավալը,Ձիաուժը,Մխոցների քանակը,Քարշակը,Դռների քանակը,Անվահեծերը,Մոտոժամը,"Բեռնատարողությունը, կգ / տ",Տեղադրված է
Volkswagen,Touareg ,5760000,2008,140000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Բեժ ,3.6,,6,Լիաքարշակ,5,"19""",,,17.01.2021
Mercedes-Benz,S 550 ,Պայ,2011,120000  կմ ,ANTERI VICHAK...FULL,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,5.5,388,8,Լիաքարշակ,,,,,17.01.2021
Hyundai,Elantra ,3504000,2012,150000  մղոն ,1.8 Doj mator,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մոխրագույն,1.8,150,4,Առջևի,5,"16""",,,17.01.2021
VAZ(Lada),2110 ,Պայ,1966,111  կմ ,,Սեդան,Մեխանիկական,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Toyota,Camry ,5856000,2015,55000  մղոն ,Se,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,17.01.2021
Mercedes-Benz,E 200 ,2352000,2001,350000  կմ ,Kompressor,Սեդան,Մեխանիկական,Ձախ,Գազ,Սև,,,,,,,,,,17.01.2021
VAZ(Lada),2115 ,792000,2004,320000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Սև,,,,,,,,,,17.01.2021
BMW,X5 ,3120000,2005,297000  կմ ,3.0,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,Շագանակագույն,3.0,231,4,Լիաքարշակ,5,"17""",,,17.01.2021
Niva,4x4 Urban ,4416000,2018,20000  կմ ,Luxe polni full,Ամենագնաց,Մեխանիկական,Ձախ,Բենզին,Սև,,,,,,,,,,17.01.2021
BMW,330 ,Պայ,2004,210000  կմ ,330I,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,,3.0,228,6,Ետևի,4,"17""",,,17.01.2021
Mercedes-Benz,G 550 ,16800000,1998,178000  կմ ,Զրահապատ B7,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,5.0,299,8,,5,"18""",,,17.01.2021
Mazda,6 ,3264000,2009,95000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
BMW,X5 ,7680000,2011,200000  կմ ,X drive,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Շագանակագույն,3.0,,6,Լիաքարշակ,5,"18""",,,17.01.2021
Nissan,Altima ,3264000,2013,116000  մղոն ,2.5,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,17.01.2021
Toyota,Camry ,4176000,2010,113000  կմ ,"XLE, AMENAFULLNA",Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Toyota,Camry ,3600000,2009,90000  մղոն ,LE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Բեժ ,2.5,,,Առջևի,5,"17""",,,17.01.2021
Lexus,RX 270 ,12000000,2015,43000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Mitsubishi,Pajero ,4800000,2008,174634  կմ ,"3,0 V6",Ունիվերսալ,Ավտոմատ,Ձախ,Գազ,Սև,,3.0,180,6,Լիաքարշակ,5,"20""",,,17.01.2021
Mercedes-Benz,A 180 ,2496000,2010,44800  կմ ,A180 Japan 4BB,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Nissan,Maxima ,4320000,2010,140000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,17.01.2021
Ford,Fusion ,5040000,2013,128000  կմ ,Titanium 2.0,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,2.0,231,,Առջևի,4,"18""",,,17.01.2021
Ford,Courier ,960000,1999,220000  կմ ,,,Մեխանիկական,Ձախ,Գազ,Սպիտակ,,,60,4,Առջևի,4,,,,17.01.2021
Kia,Sportage ,5184000,2012,120000  մղոն ,2.4 4x4,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Սև,2.4,176,4,Լիաքարշակ,4,"17""",,,17.01.2021
Opel,Zafira ,1812960,2004,187000  կմ ,RESTAYLING,Մինիվեն /  Միկրոավտոբուս,Մեխանիկական,Ձախ,Գազ,Կապույտ,,,,,,,,,,17.01.2021
Hyundai,Elantra ,4320000,2015,147000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
BMW,X6 ,7440000,2008,160  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Կարմիր,3.5,300,6,Լիաքարշակ,5,"18""",,,17.01.2021
Nissan,Teana ,1920000,2007,110000  կմ ,JM 2.3 RESTAYLING,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,17.01.2021
Nissan,X-Trail ,2688000,2006,162  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,,2.0,150,4,Լիաքարշակ,5,"17""",,,17.01.2021
Opel,Astra ,2400000,1998,285000  կմ ,1.6 ekotec,Հետչբեք,Մեխանիկական,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,17.01.2021
Opel,Astra ,2400000,1998,290000  կմ ,1.6 Ecotek,Հետչբեք,Մեխանիկական,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,17.01.2021
Opel,Zafira ,1392000,2000,510000  կմ ,,Ունիվերսալ,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,Սև,1.6,,,Առջևի,,,,,17.01.2021
Lexus,GX 470 ,8976000,2007,164500  կմ ,RESTAYLING 2009 ANTERI MANHEIM,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Chevrolet,Camaro ,8016000,2015,50000  մղոն ,RS,Կուպե,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Սև,3.6,,,Ետևի,,,,,17.01.2021
Nissan,BlueBird ,2064000,2006,152000  կմ ,BLUEBIRD SYLPHY 2.0L,Սեդան,Վարիատոր,Ձախ,Բենզին,Բեժ,Բեժ ,2.0,133,4,Առջևի,4,"15""",,,17.01.2021
Hyundai,Sonata ,3024000,2013,80000  մղոն ,2.4 GTI,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մոխրագույն,,,,,,,,,17.01.2021
Opel,Zafira ,2880000,2007,162000  կմ ,1.6,Հետչբեք,Մեխանիկական,Ձախ,Բենզին,Կապույտ,Սև,1.6,105,,Առջևի,,"16""",,,17.01.2021
Mercedes-Benz,E 350 ,8256000,2012,135000  կմ ,w212  BlueEFFICIENCY,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,17.01.2021
Lexus,GX 460 ,14352000,2011,99000  կմ ,2020 Havaqac,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,17.01.2021
BMW,X5 ,3216000,2003,320000  կմ ,231,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,17.01.2021
Volkswagen,Bora ,1200000,2001,230000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,2.0,,,Առջևի,4,,,,17.01.2021
Opel,Astra ,1008000,1999,164000  կմ ,,Ունիվերսալ,Մեխանիկական,Ձախ,Գազ,Սմբկագույն,,,,,,,,,,17.01.2021
Toyota,Mark X ZiO ,3120000,2008,130000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Աջ,Բենզին,Սև,,,,,,,,,,17.01.2021
Mazda,CX5 ,9264000,2016,47000  կմ ,GRANDE TURING,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Սպիտակ,2.5,184,4,Առջևի,4,"19""",,,17.01.2021
Mercedes-Benz,C 240 ,3120000,1998,67000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Սև,2.4,170,6,Ետևի,4,"18""",,,17.01.2021
Mercedes-Benz,C 280 ,2400000,2006,280000  կմ ,C 280,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,,,,,,,,,,17.01.2021
BMW,328 ,4800000,2015,59959  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,,,,,,,,,,17.01.2021
Toyota,Sienna ,3456000,2006,171000  մղոն ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մոխրագույն,3.3,,,Առջևի,,,,,17.01.2021
BMW,320 ,1872000,2002,181000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Կապույտ,,,,,,,,,,17.01.2021
BMW,328 ,2640000,2010,117000  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,3.0,,,Ետևի,,,,,17.01.2021
Toyota,Sienna ,3360000,2004,206000  մղոն ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Մոխրագույն,3.3,,,Առջևի,,,,,17.01.2021
Hyundai,Veloster ,4272000,2015,71000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
Lexus,GX 470 ,14400000,2008,89200  կմ ,ORIGINAL MEQENA-2009 RESTAYLING,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,4.7,263,8,Լիաքարշակ,4,"17""",,,17.01.2021
Lexus,GX 470 ,6960000,2004,120000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Բեժ ,4.7,,8,Լիաքարշակ,5,"17""",,,17.01.2021
Honda,Odyssey ,3600000,2008,120000  մղոն ,,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մոխրագույն,3.5,,6,Լիաքարշակ,4,"17""",,,17.01.2021
Toyota,Alphard ,3984000,2004,134000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մոխրագույն,3.0,,6,Լիաքարշակ,5,"17""",,,17.01.2021
Mitsubishi,Outlander ,7680000,2018,60000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,Լիաքարշակ,,,,,17.01.2021
BMW,Active Hybrid 3 ,2304000,2004,100  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,,,,,,,,,,17.01.2021
Mercedes-Benz,E 220 ,3360000,2003,222785  կմ ,2.2 cdi,Սեդան,Ավտոմատ,Ձախ,Դիզել,Արծաթագույն,,2.2,150,4,Ետևի,5,"16""",,,17.01.2021
Nissan,March ,816000,2002,12345  կմ ,,Սեդան,Ավտոմատ,Աջ,Բենզին,Սպիտակ,,,,,,,,,,17.01.2021
DUCATI,959 ,5760000,2016,6000  կմ ,PANIGALE 959,,Մեխանիկական,,Բենզին,Սպիտակ,,,,,,,,10,,17.01.2021
Mercedes-Benz,Viano ,4560000,2004,298500  կմ ,2.2 dizel,Մինիվեն /  Միկրոավտոբուս,Մեխանիկական,Ձախ,Դիզել,Սպիտակ,,,,,,,,,,17.01.2021
Ford,Fusion ,5040000,2017,61000  կմ ,2017 RESTAYLING,Սեդան,Ավտոմատ,Ձախ,Բենզին,Շագանակագույն,,,,,,,,,,17.01.2021
Toyota,Camry ,5040000,2014,81000  կմ ,SE 2014,Սեդան,Ավտոմատ,Ձախ,Բենզին,Շագանակագույն,,,,,,,,,,17.01.2021
VAZ(Lada),21099 ,400000,1991,59897  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Կապույտ,,,,,,,,,,16.01.2021
Hyundai,Sonata ,3600000,2011,120000  կմ ,sonata hybrid 2.4,Սեդան,Ավտոմատ,Ձախ,Հիբրիդ,Արծաթագույն,,,,,,,,,,16.01.2021
BMW,525 ,2784000,2007,156000  կմ ,e60 525,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Մոխրագույն,2.5,218,6,Ետևի,4,"17""",,,16.01.2021
BMW,320 ,6720000,2014,80000  մղոն ,Bmw 320 f30,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,2.0,200,4,Լիաքարշակ,5,"17""",,,16.01.2021
Lexus,RX 450h ,8016000,2010,114000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Հիբրիդ,Մոխրագույն,Սպիտակ,3.5,,,Լիաքարշակ,4,,,,16.01.2021
Mercedes-Benz,S 63 AMG ,24000000,2018,14000  կմ ,4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Mercedes-Benz,S 63 AMG ,24000000,2019,49000  կմ ,4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
BMW,328 ,2544000,2007,211100  կմ ,BMW 328XI,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
BMW,318 ,1680000,1999,300000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,Մոխրագույն,1.9,118,4,Ետևի,4,"15""",,,16.01.2021
Toyota,Camry ,4992000,2012,75000  կմ ,2.5,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Volkswagen,Golf ,1248000,1999,200000  կմ ,4,Հետչբեք,Ավտոմատ,Ձախ,Գազ,Կապույտ,,,,,,,,,,16.01.2021
Toyota,Corolla ,3744000,2013,100000  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Mercedes-Benz,E 320 ,6192000,2004,29000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,3.2,224,6,Ետևի,4,"18""",,,16.01.2021
Mazda,6 ,2880000,2009,137400  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Բալագույն,,,,,,,,,,16.01.2021
Hyundai,Sonata ,5040000,2016,28800  մղոն ,2.4,Սեդան,Ավտոմատ,Ձախ,Բենզին,Բալագույն,,,,,,,,,,16.01.2021
Toyota,Land Cruiser Prado ,18240000,2013,120  կմ ,4.0 Litr.,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Nissan,Sentra ,4416000,2018,78000  մղոն ,SV,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,16.01.2021
Toyota,Camry ,6240000,2015,70000  կմ ,LE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Mercedes-Benz,S 500 ,7056000,2006,68000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,5.5,388,8,Ետևի,4,"18""",,,16.01.2021
Kia,Optima ,4272000,2014,65000  մղոն ,2.4,Սեդան,Ավտոմատ,Ձախ,Բենզին,Շագանակագույն,,,,,,,,,,16.01.2021
Ford,Transit ,7200000,2011,270000  կմ ,2.4 dti,,Մեխանիկական,Ձախ,Դիզել,Սպիտակ,,2.4,155,,,,,,4600,16.01.2021
Lexus,RX 330 ,3744000,2004,300000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,,,,,,,,,,16.01.2021
Mitsubishi,Pajero ,1200000,1998,229730  կմ ,18  GDI,Կուպե,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Սև,1.8,125,10,,2,"16""",,,16.01.2021
Lexus,IS 250 ,3744000,2009,150  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Lexus,GX 460 ,16800000,2012,120000  մղոն ,HEXUK GAZ,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սպիտակ,Սև,,,,,,,,,16.01.2021
Mercedes-Benz,E 350 ,3696000,2007,150000  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,16.01.2021
Porsche,Cayenne ,12960000,2011,700777  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,4.8,,,,,,,,16.01.2021
Mitsubishi,Pajero ,5856000,2010,140000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,3.5,,,Լիաքարշակ,5,,,,16.01.2021
Opel,Astra ,1632000,1999,240  կմ ,1.8 екотек канфорд фарсонка газ,Սեդան,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,,1.8,115,4,Առջևի,4,"15""",,,16.01.2021
BMW,318 ,912000,1993,360000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Այլ գույն,,,,,,,,,,16.01.2021
Toyota,Alphard ,3840000,2005,120000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,3.0,,,Լիաքարշակ,,,,,16.01.2021
Mercedes-Benz,GLS 400 ,12000000,2019,29000  կմ ,4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Hyundai,Elantra ,3600000,2012,86000  մղոն ,1.8,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Hyundai,Elantra ,4176000,2013,76000  մղոն ,GT,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սև,,1.8,,,,,"17""",,,16.01.2021
Mercedes-Benz,GLE 63 AMG ,14400000,2018,23000  կմ ,AMG-S 4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,16.01.2021
Toyota,Sienna ,6000000,2011,100  կմ ,Gtnvum e lav vijakum,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Կանաչ,Բեժ ,3.5,,,Առջևի,4,,,,16.01.2021
BMW,X6 ,9600000,2010,199000  կմ ,5լիտր,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Կարմիր,5.0,410,8,Լիաքարշակ,5,"20""",,,16.01.2021
Mercedes-Benz,GLE 350 ,11040000,2020,13000  կմ ,4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Mercedes-Benz,GLE 350 ,11040000,2020,7000  կմ ,4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Lexus,RX 350 ,5760000,2008,87000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,3.5,,6,Լիաքարշակ,,"18""",,,16.01.2021
Opel,Vectra B ,1344000,2001,190000  կմ ,2.2,Սեդան,Մեխանիկական,Ձախ,Գազ,Կապույտ,,,,,,,,,,16.01.2021
Mercedes-Benz,GLC 300 ,6240000,2019,6000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Mercedes-Benz,GLC 300 ,6240000,2018,18000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,16.01.2021
Mercedes-Benz,GLA 250 ,6240000,2018,32000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կանաչ,,,,,,,,,,16.01.2021
Toyota,Ipsum ,2496000,2005,109000  կմ ,4x4 model 2005,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Երկնագույն,Բեժ ,2.4,,4,Լիաքարշակ,4,"15""",,,16.01.2021
Kia,Sorento ,2832000,2005,191000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,,,,,,,,,,16.01.2021
Mercedes-Benz,B 180 ,3072000,2009,97800  կմ ,Restayling,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Mercedes-Benz,G 63 AMG ,24000000,2018,10000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Mercedes-Benz,E 300 ,7200000,2018,41000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Hyundai,Santa Fe ,11040000,2014,57000  կմ ,SPORT,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Mercedes-Benz,CLA 250 ,4800000,2019,6000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Ford,Escape ,3312000,2008,91000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Բեժ ,3.0,240,6,Առջևի,4,"16""",,,16.01.2021
Kia,Niro ,12000000,2018,16000  կմ ,FE,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,,,,,,,,,,16.01.2021
Mitsubishi,Grandis ,19200000,2005,390  կմ ,Sport Gear,Ունիվերսալ,Ավտոմատ,Աջ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Mercedes-Benz,C 300 ,7200000,2020,3000  կմ ,4MATIC,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Mercedes-Benz,AMG GT ,24000000,2020,2000  կմ ,C,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Դեղին,,,,,,,,,,16.01.2021
Mercedes-Benz,ML 350 ,6720000,2010,11000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Սև,3.5,,6,Լիաքարշակ,,,,,16.01.2021
Toyota,Camry ,4320000,2011,245000  կմ ,LE,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,Բեժ ,2.5,171,,,,"16""",,,16.01.2021
BMW,328 ,6336000,2013,133000  կմ ,2.0 turbo,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,,,,Ետևի,,,,,16.01.2021
Maserati,GranTurismo ,16800000,2018,13000  կմ ,S,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Maserati,Ghibli ,8160000,2018,19000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Lincoln,Navigator ,15360000,2018,7000  կմ ,RESERVE,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Toyota,Sequoia ,10800000,2011,113123  կմ ,4x4 Limited,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Մոխրագույն,,,,,,,,,,16.01.2021
Mercedes-Benz,E 350 ,2592000,2005,213000  կմ ,3.5l,Սեդան,Ավտոմատ,Ձախ,Գազ,Արծաթագույն,Մոխրագույն,3.5,272,6,Ետևի,5,"17""",,,16.01.2021
Lexus,RX 450h ,8640000,2019,36000  կմ ,BASE,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Toyota,Prius ,4944000,2014,56000  մղոն ,,Հետչբեք,Ավտոմատ,Ձախ,Հիբրիդ,Սև,Մոխրագույն,1.5,,4,Առջևի,4,"15""",,,16.01.2021
Opel,Astra ,1200000,2003,293000  կմ ,"1,6Prastoy 2003թ",Հետչբեք,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,,,,,,,,,,16.01.2021
Mitsubishi,Outlander ,2640000,2005,140000  կմ ,"ՇՏԱՊ,4x4,ԳԱԶ 1,6,ԻԺԵԿՏՈՐ",Ունիվերսալ,Ավտոմատ,Ձախ,Գազ,Սև,,2.4,,,Լիաքարշակ,4,,,,16.01.2021
Toyota,Alphard ,6000000,2007,96000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Աջ,Բենզին,Սև,Սև,3.0,,6,Լիաքարշակ,4,"18""",,,16.01.2021
Opel,Combo ,2400000,2008,154000  կմ ,1.6,Ֆուրգոն,Մեխանիկական,Ձախ,Գազ,Սպիտակ,,,,,,,,,,16.01.2021
Subaru,Legacy ,2256000,2005,230000  կմ ,,Սեդան,Ավտոմատ,Աջ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Toyota,Camry ,3456000,2008,103000  մղոն ,2.4 litr,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Mercedes-Benz,E 350 ,6864000,2011,89000  մղոն ,AMG E63 Restyling,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Սև,3.5,272,6,Լիաքարշակ,4,"17""",,,16.01.2021
Ford,Mustang ,8880000,2017,56000  կմ ,Poxanakum,Կուպե,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,16.01.2021
Toyota,Rav 4 ,9600000,2014,52000  կմ ,,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Mitsubishi,Airtrek ,1584000,2001,121500  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Արծաթագույն,,,,,,,,,,16.01.2021
Toyota,Alphard ,3264000,2004,150000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Փոխված աջից ձախ,Բենզին,Սպիտակ,,,,,Լիաքարշակ,,,,,16.01.2021
Mercedes-Benz,190 ,2112000,1987,330000  կմ ,W201,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,16.01.2021
Toyota,Alphard ,3792000,2008,148000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Փոխված աջից ձախ,Բենզին,Սև,Սև,2.4,,,Առջևի,,,,,16.01.2021
Nissan,Altima ,4752000,2015,79000  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Սև,2.5,184,4,Առջևի,4,"17""",,,16.01.2021
Mini,Cooper ,1920000,2003,150000  մղոն ,1.6,Կուպե,Մեխանիկական,Ձախ,Բենզին,Կանաչ,,,,,,,,,,16.01.2021
Mercedes-Benz,C 200 ,Պայ,2000,298611  կմ ,C200 KOMPRESSOR,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Մոխրագույն,2.0,176,4,Ետևի,4,"14""",,,16.01.2021
Renault,Clio ,1824000,2006,59123  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,16.01.2021
Hyundai,Veloster ,5616000,2017,65000  մղոն ,,Հետչբեք,Մեխանիկական,Ձախ,Բենզին,Կապույտ,Սև,1.6,,4,Առջևի,3,"17""",,,16.01.2021
Opel,Vectra ,1680000,2002,231975  կմ ,2.2L Benzin,Սեդան,Մեխանիկական,Ձախ,Գազ,Սև,Սև,2.2,147,,Առջևի,4,"16""",,,16.01.2021
Mitsubishi,Pajero ,4608000,2007,140000  կմ ,,Կուպե,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,16.01.2021
Nissan,Versa ,2448000,2010,116000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,16.01.2021
